#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
#
#
#Voltage	#Channel	#C_parallel	#Tot. curr.	#Act. vlt.
#[V]     	#         	#[pF]       #[nA]        	#[V]
0.00000E+00	1.00000E+00	6.03628E+01	-3.70301E-09	8.54667E-06
0.00000E+00	2.00000E+00	6.16541E+01	-3.79968E-09	9.30155E-06
0.00000E+00	3.00000E+00	6.26963E+01	-4.39935E-09	9.04437E-06
0.00000E+00	4.00000E+00	6.61687E+01	-3.64326E-09	1.00149E-05
0.00000E+00	5.00000E+00	6.02502E+01	-3.51218E-09	9.62505E-06
0.00000E+00	6.00000E+00	6.06518E+01	-2.53034E-09	1.06288E-05
0.00000E+00	7.00000E+00	6.11792E+01	-4.20873E-09	1.04961E-05
0.00000E+00	8.00000E+00	6.34620E+01	-3.82096E-09	1.02804E-05
0.00000E+00	9.00000E+00	6.37301E+01	-4.52609E-09	1.04048E-05
0.00000E+00	1.00000E+01	6.45015E+01	-6.53295E-09	1.07449E-05
0.00000E+00	1.10000E+01	6.62414E+01	-3.56131E-09	9.80756E-06
0.00000E+00	1.20000E+01	6.60893E+01	-3.83674E-09	1.03302E-05
0.00000E+00	1.30000E+01	6.45742E+01	-4.10891E-09	9.36792E-06
0.00000E+00	1.40000E+01	6.45540E+01	-6.10036E-09	9.77438E-06
0.00000E+00	1.50000E+01	6.34754E+01	-1.50339E-09	9.33473E-06
0.00000E+00	1.60000E+01	6.89468E+01	-3.08866E-09	9.43430E-06
0.00000E+00	1.70000E+01	6.70273E+01	-3.93459E-09	9.51724E-06
0.00000E+00	1.80000E+01	6.17420E+01	-3.00885E-09	1.00399E-05
0.00000E+00	1.90000E+01	6.42185E+01	-3.16033E-09	1.06371E-05
0.00000E+00	2.00000E+01	6.74855E+01	-4.06034E-09	8.24807E-06
0.00000E+00	2.10000E+01	6.02609E+01	-3.57922E-09	9.45916E-06
0.00000E+00	2.20000E+01	6.58007E+01	-3.86187E-09	9.81587E-06
0.00000E+00	2.30000E+01	6.65330E+01	-3.62678E-09	9.40941E-06
0.00000E+00	2.40000E+01	6.67022E+01	-3.61374E-09	9.29327E-06
0.00000E+00	2.50000E+01	6.77672E+01	-3.34494E-09	9.98178E-06
0.00000E+00	2.60000E+01	6.48560E+01	-3.10468E-09	1.04712E-05
0.00000E+00	2.70000E+01	6.86365E+01	-3.43368E-09	9.99009E-06
0.00000E+00	2.80000E+01	6.57691E+01	-3.82026E-09	1.11348E-05
0.00000E+00	2.90000E+01	6.50393E+01	-3.53995E-09	1.00813E-05
0.00000E+00	3.00000E+01	6.56254E+01	-3.31386E-09	9.31814E-06
0.00000E+00	3.10000E+01	6.20925E+01	-3.38673E-09	1.07118E-05
0.00000E+00	3.20000E+01	6.81695E+01	-3.40600E-09	1.05127E-05
0.00000E+00	3.30000E+01	6.57998E+01	-2.94993E-09	1.00979E-05
0.00000E+00	3.40000E+01	6.71173E+01	-3.61692E-09	1.04297E-05
0.00000E+00	3.50000E+01	6.63050E+01	-3.19549E-09	1.00481E-05
0.00000E+00	3.60000E+01	6.43737E+01	-3.58076E-09	9.77440E-06
0.00000E+00	3.70000E+01	7.04560E+01	-3.30824E-09	9.22693E-06
0.00000E+00	3.80000E+01	6.64340E+01	-2.50567E-09	1.05625E-05
0.00000E+00	3.90000E+01	6.77463E+01	-2.87966E-09	8.54672E-06
0.00000E+00	4.00000E+01	6.95470E+01	-3.50694E-09	8.72920E-06
0.00000E+00	4.10000E+01	6.39649E+01	-2.87839E-09	1.04297E-05
0.00000E+00	4.20000E+01	6.60105E+01	-3.03632E-09	1.03966E-05
0.00000E+00	4.30000E+01	6.82759E+01	-2.54567E-09	1.07947E-05
0.00000E+00	4.40000E+01	6.37233E+01	-3.19048E-09	9.59190E-06
0.00000E+00	4.50000E+01	6.27938E+01	-3.41504E-09	1.06205E-05
0.00000E+00	4.60000E+01	6.78656E+01	-2.65648E-09	9.80760E-06
0.00000E+00	4.70000E+01	6.84133E+01	-2.63591E-09	1.07947E-05
0.00000E+00	4.80000E+01	6.98704E+01	-2.62403E-09	9.59192E-06
0.00000E+00	4.90000E+01	7.17490E+01	-3.24079E-09	8.88680E-06
0.00000E+00	5.00000E+01	7.00339E+01	-2.80449E-09	9.73293E-06
0.00000E+00	5.10000E+01	6.61665E+01	-2.89579E-09	9.41772E-06
0.00000E+00	5.20000E+01	7.17133E+01	-3.28624E-09	9.90713E-06
0.00000E+00	5.30000E+01	6.72008E+01	-3.34155E-09	1.12593E-05
0.00000E+00	5.40000E+01	6.55326E+01	-3.12273E-09	1.02555E-05
0.00000E+00	5.50000E+01	6.84201E+01	-3.01863E-09	9.49237E-06
0.00000E+00	5.60000E+01	6.95929E+01	-3.10013E-09	1.06786E-05
0.00000E+00	5.70000E+01	6.38377E+01	-2.81743E-09	1.02224E-05
0.00000E+00	5.80000E+01	7.00847E+01	-3.29834E-09	1.02804E-05
0.00000E+00	5.90000E+01	7.06271E+01	-2.79267E-09	1.06288E-05
0.00000E+00	6.00000E+01	7.25388E+01	-2.79649E-09	1.04629E-05
0.00000E+00	6.10000E+01	7.02201E+01	-3.05292E-09	1.03219E-05
0.00000E+00	6.20000E+01	6.68504E+01	-2.99761E-09	1.03551E-05
0.00000E+00	6.30000E+01	6.93225E+01	-2.66347E-09	1.05542E-05
0.00000E+00	6.40000E+01	6.91323E+01	-2.78961E-09	1.07948E-05
0.00000E+00	6.50000E+01	6.83041E+01	-3.02867E-09	9.75782E-06
0.00000E+00	6.60000E+01	6.96551E+01	-2.27336E-09	1.07699E-05
0.00000E+00	6.70000E+01	6.94609E+01	-2.28658E-09	8.65455E-06
0.00000E+00	6.80000E+01	6.39499E+01	-2.77783E-09	1.06371E-05
0.00000E+00	6.90000E+01	6.88163E+01	-3.45863E-09	9.21036E-06
0.00000E+00	7.00000E+01	7.14849E+01	-3.03286E-09	9.45922E-06
0.00000E+00	7.10000E+01	7.13614E+01	-2.87867E-09	1.01643E-05
0.00000E+00	7.20000E+01	7.12135E+01	-2.90311E-09	9.27672E-06
0.00000E+00	7.30000E+01	7.17867E+01	-2.76969E-09	9.65831E-06
0.00000E+00	7.40000E+01	7.13869E+01	-2.78802E-09	9.09422E-06
0.00000E+00	7.50000E+01	6.95330E+01	-2.90264E-09	9.75785E-06
0.00000E+00	7.60000E+01	7.05237E+01	-2.80891E-09	9.89059E-06
0.00000E+00	7.70000E+01	6.71124E+01	-2.92515E-09	1.06786E-05
0.00000E+00	7.80000E+01	6.58392E+01	-2.87888E-09	1.00814E-05
0.00000E+00	7.90000E+01	6.65835E+01	-2.29538E-09	9.99841E-06
0.00000E+00	8.00000E+01	6.65906E+01	-2.62864E-09	1.00316E-05
0.00000E+00	8.10000E+01	6.81072E+01	-2.54249E-09	1.04298E-05
0.00000E+00	8.20000E+01	7.14371E+01	-2.36739E-09	1.03053E-05
0.00000E+00	8.30000E+01	7.29518E+01	-2.28003E-09	1.06040E-05
0.00000E+00	8.40000E+01	7.41968E+01	-2.79013E-09	1.12261E-05
0.00000E+00	8.50000E+01	7.33001E+01	-2.56932E-09	1.09109E-05
0.00000E+00	8.60000E+01	7.28352E+01	-2.59115E-09	1.13257E-05
0.00000E+00	8.70000E+01	7.23622E+01	-2.95426E-09	1.11930E-05
0.00000E+00	8.80000E+01	6.90057E+01	-2.95385E-09	1.00316E-05
0.00000E+00	8.90000E+01	6.84835E+01	-2.45068E-09	1.01394E-05
0.00000E+00	9.00000E+01	7.02795E+01	-2.46021E-09	9.21039E-06
0.00000E+00	9.10000E+01	7.17602E+01	-2.25991E-09	1.01229E-05
0.00000E+00	9.20000E+01	6.83322E+01	-2.08173E-09	9.74126E-06
0.00000E+00	9.30000E+01	7.27512E+01	-2.65009E-09	1.04961E-05
0.00000E+00	9.40000E+01	7.08863E+01	-2.66290E-09	1.08694E-05
0.00000E+00	9.50000E+01	7.37550E+01	-2.69749E-09	9.92377E-06
0.00000E+00	9.60000E+01	7.21787E+01	-2.59463E-09	1.02473E-05
0.00000E+00	9.70000E+01	7.29733E+01	-2.50561E-09	1.01643E-05
0.00000E+00	9.80000E+01	7.27883E+01	-2.42414E-09	1.07865E-05
0.00000E+00	9.90000E+01	7.28138E+01	-2.33518E-09	9.79933E-06
0.00000E+00	1.00000E+02	6.94514E+01	-2.38891E-09	1.06786E-05
0.00000E+00	1.01000E+02	6.95523E+01	-2.23877E-09	1.02888E-05
0.00000E+00	1.02000E+02	6.96505E+01	-2.30270E-09	9.81594E-06
0.00000E+00	1.03000E+02	6.80470E+01	-2.37222E-09	1.02473E-05
0.00000E+00	1.04000E+02	7.09771E+01	-2.52087E-09	9.56706E-06
0.00000E+00	1.05000E+02	7.39422E+01	-2.40218E-09	9.11083E-06
0.00000E+00	1.06000E+02	7.42595E+01	-2.40330E-09	9.55880E-06
0.00000E+00	1.07000E+02	7.19801E+01	-2.29994E-09	9.67492E-06
0.00000E+00	1.08000E+02	7.31408E+01	-2.09117E-09	9.74960E-06
0.00000E+00	1.09000E+02	7.54279E+01	-2.06924E-09	9.71640E-06
0.00000E+00	1.10000E+02	7.43478E+01	-2.00356E-09	1.09856E-05
0.00000E+00	1.11000E+02	7.14956E+01	-2.15471E-09	1.06953E-05
0.00000E+00	1.12000E+02	6.92665E+01	-2.14332E-09	1.09358E-05
0.00000E+00	1.13000E+02	7.16120E+01	-2.11591E-09	1.05542E-05
0.00000E+00	1.14000E+02	7.00041E+01	-2.10295E-09	9.92381E-06
0.00000E+00	1.15000E+02	7.17439E+01	-2.08952E-09	9.78278E-06
0.00000E+00	1.16000E+02	7.28471E+01	-2.07128E-09	1.03884E-05
0.00000E+00	1.17000E+02	7.24975E+01	-2.44553E-09	1.01644E-05
0.00000E+00	1.18000E+02	7.45168E+01	-2.28957E-09	1.02722E-05
0.00000E+00	1.19000E+02	7.49135E+01	-2.32923E-09	9.01961E-06
0.00000E+00	1.20000E+02	7.69043E+01	-2.20117E-09	9.23530E-06
0.00000E+00	1.21000E+02	7.30936E+01	-2.10692E-09	1.01976E-05
0.00000E+00	1.22000E+02	7.52198E+01	-2.05792E-09	1.01478E-05
0.00000E+00	1.23000E+02	7.03261E+01	-1.97243E-09	1.02971E-05
0.00000E+00	1.24000E+02	7.36300E+01	-1.88385E-09	1.08363E-05
0.00000E+00	1.25000E+02	7.14708E+01	-2.19181E-09	1.09441E-05
0.00000E+00	1.26000E+02	7.30280E+01	-2.14830E-09	1.11764E-05
0.00000E+00	1.27000E+02	7.53605E+01	-1.95856E-09	1.05460E-05
0.00000E+00	1.28000E+02	7.06357E+01	-1.83442E-09	1.11017E-05
0.00000E+00	1.29000E+02	7.04493E+01	-1.93471E-09	1.09773E-05
0.00000E+00	1.30000E+02	7.36036E+01	-1.90869E-09	1.07036E-05
0.00000E+00	1.31000E+02	7.45071E+01	-1.92624E-09	1.05543E-05
0.00000E+00	1.32000E+02	7.27905E+01	-1.85369E-09	1.08861E-05
0.00000E+00	1.33000E+02	7.21254E+01	-1.93101E-09	1.04215E-05
0.00000E+00	1.34000E+02	6.58624E+01	-1.94629E-09	1.03552E-05
0.00000E+00	1.35000E+02	7.33282E+01	-2.04547E-09	1.15414E-05
0.00000E+00	1.36000E+02	6.36023E+01	-2.26277E-09	1.15331E-05
0.00000E+00	1.37000E+02	6.38055E+01	-2.29639E-09	1.08695E-05
0.00000E+00	1.38000E+02	6.25046E+01	-2.04929E-09	1.08944E-05
0.00000E+00	1.39000E+02	6.92978E+01	-2.01739E-09	1.04879E-05
0.00000E+00	1.40000E+02	7.86817E+01	-1.91589E-09	1.05792E-05
0.00000E+00	1.41000E+02	1.01791E+02	-1.81415E-09	1.06870E-05
0.00000E+00	1.42000E+02	1.79224E+02	-1.86098E-09	1.06538E-05
0.00000E+00	1.43000E+02	1.07963E+03	-1.78254E-09	9.99019E-06
0.00000E+00	1.44000E+02	3.38685E+02	-2.16225E-09	1.03552E-05
2.50000E+01	1.00000E+00	6.17966E+01	8.14788E-08	2.49845E+01
2.50000E+01	2.00000E+00	6.30993E+01	-2.16111E-09	2.49850E+01
2.50000E+01	3.00000E+00	6.41479E+01	4.56227E-09	2.49849E+01
2.50000E+01	4.00000E+00	6.76254E+01	6.68102E-09	2.49848E+01
2.50000E+01	5.00000E+00	6.16759E+01	-7.05189E-10	2.49855E+01
2.50000E+01	6.00000E+00	6.21282E+01	-3.37466E-09	2.49850E+01
2.50000E+01	7.00000E+00	6.26029E+01	-1.39601E-09	2.49848E+01
2.50000E+01	8.00000E+00	6.49547E+01	-5.57052E-11	2.49850E+01
2.50000E+01	9.00000E+00	6.51904E+01	-8.78176E-09	2.49852E+01
2.50000E+01	1.00000E+01	6.58898E+01	-5.06106E-09	2.49855E+01
2.50000E+01	1.10000E+01	6.76990E+01	-5.73074E-09	2.49852E+01
2.50000E+01	1.20000E+01	6.75550E+01	-4.07920E-09	2.49847E+01
2.50000E+01	1.30000E+01	6.60374E+01	-4.66307E-09	2.49846E+01
2.50000E+01	1.40000E+01	6.60102E+01	-7.58964E-09	2.49853E+01
2.50000E+01	1.50000E+01	6.49262E+01	-5.60061E-09	2.49857E+01
2.50000E+01	1.60000E+01	7.03032E+01	-3.87629E-09	2.49849E+01
2.50000E+01	1.70000E+01	6.84944E+01	-7.95711E-09	2.49857E+01
2.50000E+01	1.80000E+01	6.31761E+01	-5.90200E-09	2.49851E+01
2.50000E+01	1.90000E+01	6.56686E+01	-3.35605E-09	2.49854E+01
2.50000E+01	2.00000E+01	6.89682E+01	-5.42936E-09	2.49851E+01
2.50000E+01	2.10000E+01	6.17621E+01	-3.33298E-09	2.49846E+01
2.50000E+01	2.20000E+01	6.72663E+01	-8.64061E-09	2.49850E+01
2.50000E+01	2.30000E+01	6.79761E+01	-4.54300E-09	2.49851E+01
2.50000E+01	2.40000E+01	6.81699E+01	-9.96190E-10	2.49852E+01
2.50000E+01	2.50000E+01	6.92951E+01	-5.19015E-09	2.49855E+01
2.50000E+01	2.60000E+01	6.63150E+01	-3.09571E-09	2.49850E+01
2.50000E+01	2.70000E+01	7.00151E+01	-3.77681E-09	2.49847E+01
2.50000E+01	2.80000E+01	6.72818E+01	1.62718E-09	2.49848E+01
2.50000E+01	2.90000E+01	6.65289E+01	-2.62757E-09	2.49850E+01
2.50000E+01	3.00000E+01	6.71027E+01	6.00132E-10	2.49853E+01
2.50000E+01	3.10000E+01	6.35628E+01	-5.15976E-09	2.49851E+01
2.50000E+01	3.20000E+01	6.96724E+01	-1.01307E-09	2.49854E+01
2.50000E+01	3.30000E+01	6.72894E+01	-1.82756E-09	2.49849E+01
2.50000E+01	3.40000E+01	6.85753E+01	1.09251E-09	2.49847E+01
2.50000E+01	3.50000E+01	6.78530E+01	-2.18156E-09	2.49850E+01
2.50000E+01	3.60000E+01	6.58417E+01	-5.83209E-09	2.49849E+01
2.50000E+01	3.70000E+01	7.19575E+01	-1.99324E-10	2.49851E+01
2.50000E+01	3.80000E+01	6.79108E+01	-4.12511E-09	2.49848E+01
2.50000E+01	3.90000E+01	6.91354E+01	-8.93096E-09	2.49856E+01
2.50000E+01	4.00000E+01	7.10079E+01	-5.60518E-09	2.49850E+01
2.50000E+01	4.10000E+01	6.54407E+01	-2.98077E-09	2.49852E+01
2.50000E+01	4.20000E+01	6.74810E+01	-3.50232E-09	2.49853E+01
2.50000E+01	4.30000E+01	6.97821E+01	-5.75173E-09	2.49858E+01
2.50000E+01	4.40000E+01	6.52245E+01	-2.21356E-09	2.49860E+01
2.50000E+01	4.50000E+01	6.42779E+01	-1.30839E-09	2.49859E+01
2.50000E+01	4.60000E+01	6.93009E+01	-4.55714E-09	2.49862E+01
2.50000E+01	4.70000E+01	6.99357E+01	-2.72122E-09	2.49855E+01
2.50000E+01	4.80000E+01	7.13741E+01	-8.01394E-09	2.49850E+01
2.50000E+01	4.90000E+01	7.32485E+01	-7.35990E-09	2.49854E+01
2.50000E+01	5.00000E+01	7.14794E+01	-6.11954E-09	2.49847E+01
2.50000E+01	5.10000E+01	6.76862E+01	-5.07333E-09	2.49849E+01
2.50000E+01	5.20000E+01	7.32665E+01	-4.66234E-09	2.49850E+01
2.50000E+01	5.30000E+01	6.87184E+01	-5.60191E-09	2.49846E+01
2.50000E+01	5.40000E+01	6.70696E+01	-4.63860E-09	2.49849E+01
2.50000E+01	5.50000E+01	6.99191E+01	-7.64715E-09	2.49849E+01
2.50000E+01	5.60000E+01	7.11087E+01	-3.82391E-09	2.49851E+01
2.50000E+01	5.70000E+01	6.52994E+01	-8.44433E-09	2.49855E+01
2.50000E+01	5.80000E+01	7.16098E+01	-4.04152E-09	2.49853E+01
2.50000E+01	5.90000E+01	7.21493E+01	-8.63212E-09	2.49852E+01
2.50000E+01	6.00000E+01	7.40825E+01	-3.35512E-09	2.49854E+01
2.50000E+01	6.10000E+01	7.17677E+01	-2.61752E-09	2.49856E+01
2.50000E+01	6.20000E+01	6.82808E+01	-3.38522E-09	2.49851E+01
2.50000E+01	6.30000E+01	7.08972E+01	-3.52678E-09	2.49849E+01
2.50000E+01	6.40000E+01	7.05969E+01	-7.29593E-09	2.49846E+01
2.50000E+01	6.50000E+01	6.97654E+01	-3.20616E-09	2.49851E+01
2.50000E+01	6.60000E+01	7.11652E+01	-6.91730E-09	2.49851E+01
2.50000E+01	6.70000E+01	7.09836E+01	-4.75383E-09	2.49848E+01
2.50000E+01	6.80000E+01	6.54334E+01	-7.44547E-09	2.49851E+01
2.50000E+01	6.90000E+01	7.03058E+01	-2.81108E-09	2.49853E+01
2.50000E+01	7.00000E+01	7.30220E+01	-2.57328E-09	2.49850E+01
2.50000E+01	7.10000E+01	7.28707E+01	-5.36100E-09	2.49849E+01
2.50000E+01	7.20000E+01	7.27361E+01	-1.73222E-09	2.49851E+01
